has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,60,0,0,0,60,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://ttrezoorio-saitt.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,22,0,0,0,22,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,https://compte-public.id-finances.parti-auth.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,22,0,0,0,22,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,https://www.compte-public.id-finances.parti-auth.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0,31,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,https://uppdatemailbox.netlify.app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,21,0,0,1,1062,0,1,2,8,0,0,0,0,0,0,8,0,0,0,0,0,0,https://free-ad-credit.surge.sh/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://fghgsdgsfdderzerzerezrezrzer.s3.eu-north-1.amazonaws.com/KHJHG.html,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,http://brennerdentalny.com/?fDvBh5xTYS,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,http://cote-marais.com/?vybGTj0J1l,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,http://boom-bip.com/?2UxlY09HjF,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ebukanewpages.blob.core.windows.net/ebukanewpages/ebukanewpages.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ebukanewpages.blob.core.windows.net/ebukanewpages/ebukanewpages.html?eta=info@mup.cz,1
1,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,3,0,3,10,0,0,0,130,0,0,3,8,0,0,1,0,0,1,3,0,0,0,0,0,0,https://btbusiness-d60f9c.webflow.io/,1
1,1,0,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,3,0,3,15,1,0,0,159,0,0,3,8,0,0,1,0,0,0,3,0,0,0,0,0,0,https://my-bt-business-6b30c2.webflow.io/,1
1,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,3,0,3,18,0,0,0,222,0,1,3,6,0,0,1,0,0,1,3,0,0,0,0,0,0,https://my-bt-business-app-ff8fba.webflow.io/,1
1,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,3,0,3,10,0,0,0,130,0,0,3,10,0,0,1,0,0,1,3,0,0,0,0,0,0,https://btbusiness-267203.webflow.io/,1
1,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,3,0,3,10,0,0,0,171,0,0,3,8,0,0,1,0,0,1,3,0,0,0,0,0,0,https://btbusiness-c34548.webflow.io/,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,http://makerz.nl/wp-content/plugins/hello-dolly/W9ueyZKwxhhAq7kJmXogC1zEgU3FbH4p/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,69,0,0,0,261,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,https://novobamcoempresas-pt.pro:443/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,69,0,0,0,261,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,http://novobamcoempresas-pt.pro/,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://mircopucci.it/wp-content/2wlB5xFwgjM2SBPbvaz2NRCQtMAl6BnZ/?id=c26678a366428d87af25dda7d7be1b77&email,1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,22,0,49,15,1,0,0,69,0,3,3,24,0,0,0,0,0,1,14,0,0,0,0,1,0,http://blocfk-filogin.gitbook.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,47,0,0,0,47,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://maltmaklogins.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,47,0,0,0,47,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,http://maltmaklogins.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,3,40,11,58,1,1,1,8988,0,32,12,160,0,1,0,0,1,0,10,1,0,0,0,3,0,http://booking-com-ab7c31.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,3,40,11,58,1,1,1,8988,0,32,12,160,0,1,0,0,1,0,10,1,0,0,0,3,0,https://booking-com-ab7c31.webflow.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,16,0,0,0,16,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,https://us18.list-manage.com/survey?u=30ae2641ce2e7a3e0d40e0f00&id=c1bd277d14&attribution=false,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,31,7,0,0,0,41,0,1,0,29,0,0,0,0,0,0,10,0,0,0,0,3,0,https://link-1762690952.allvaluelink.com/Mybtmil,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,4,0,1,0,125,0,1,2,21,0,0,0,0,0,0,13,0,0,0,0,1,0,https://iubjgxqqzmyh.myfunnelish.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.grgym.cn/?convert=jhz2v958lE0AzMqNeiAzcfO8,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.cdvda.cn/?convert=zlyMUVQpMVtlomBfCh12vehN,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.cjmvx.cn/?convert=r8w4eq1hBe6InnEqY2Px7vUx,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.jmdda.cn/?reward=p4ICWnDBUK6VJp4lMe0kLiUn,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.jguaq.cn/?convert=8vqPVf9sWTKESMH00mRYTtXy,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.xtnfg.cn/?convert=hM0pIlWU1BRUiZ2FwIyJqcI4,1
1,1,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,7,1,12,19,0,0,0,200,0,3,2,19,0,1,0,0,0,0,6,0,0,0,0,2,0,https://dgb.li/examplebt,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19933,1,357,147,452,0,1,0,0,1,0,63,1,0,1,5,197,0,https://peageimpaye-vinci.com/,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19775,1,357,147,453,0,1,0,0,1,0,63,1,0,1,5,194,0,https://peageimpaye-vinci.com/as.php,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19775,1,357,147,453,0,1,0,0,1,0,63,1,0,1,5,194,0,https://vincipeages-impaye-fr.com/,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19775,1,357,147,453,0,1,0,0,1,0,63,1,0,1,5,194,0,https://vincipeages-impaye-fr.com/as.php,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://www.illiquido.it/wp-content/J9KQfSKQtAi2He3yjnHoFFcXAAyHwVgc/?id=fabd3a22bd3c6243db27b6e7fe86bc5a&email,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://mircopucci.it/wp-content/2wlB5xFwgjM2SBPbvaz2NRCQtMAl6BnZ/?id=7092037085076006a4efc463ac276695&email,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://gomxuanhoa.com/wp-content/themes/,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://mircopucci.it/wp-content/2wlB5xFwgjM2SBPbvaz2NRCQtMAl6BnZ/?id=fcb957167e1a25fa906b8cd390338adb&email,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://www.illiquido.it/wp-content/J9KQfSKQtAi2He3yjnHoFFcXAAyHwVgc/?id=350229041dab4f48ec12c50c0aeffaf0&email,1
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,188,0,18,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://southernhighlandsindoorplanthire.com.au/wp-content/plugins/elementor/h/BPivMXDDLlqTDdGFRo6n0gpER85K18M3/?id=822d020d097f74429950bdc837a01caa&email,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,32,0,0,0,166,0,4,3,12,0,0,0,0,0,0,2,0,0,0,0,2,0,https://center-exodus-backup.vercel.app/,1
1,1,1,0,0,1,0,0,0,0,0,1,52,0,64,17,0,0,6,139,15,126,0,0,0,8447,51,89,395,880,0,1,1,0,1,1,31,1,0,0,0,334,0,https://hometeroka.com/?page=,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,4,0,0,0,16,0,1,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,https://share-eu1.hsforms.com/1MZtFhNbdRq2o5Z9XQABzTA2fnqn4,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,4,0,0,0,16,0,1,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,https://share-eu1.hsforms.com/1bYxgzGzQRDq_NgrNaCZbfg2fnm8u,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,16,0,0,0,16,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,https://us3.list-manage.com/survey?u=9ac49c4cd2cc19c61dafc6580&id=947303cfe8&attribution=false,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us6.campaign-archive.com/?u=5487c8bf79f61f8622922d16c&id=ab3e6a5389,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us17.campaign-archive.com/?u=2f599139a9ee34510dbec24d5&id=6825981ff1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.pgerz.cn/?convert=SVMavHcWEss0xSxodamxbwea,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.tcfob.cn/?convert=QSBrEqHlhXPXjAkxC4rCEr4U,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,116,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,https://mysaiban.com/Upgrade.update.login/sso.login/login2.php,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,10,1,19,12,1,0,0,228,0,3,1,52,0,0,0,0,0,0,13,0,0,0,0,2,0,https://viewbroadbandee.sellfy.store/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass-jp.zzdiou.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,http://www3-vpass.changshitou.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.sxhbqy.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.xinsft.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.sffwjd.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.jnrhsk.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.szgztdyf.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.bainuohb.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.ttqiancheng.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.yunshuzixun.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.rongecds.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.xhtxrj.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.hnbngdh.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://www3-vpass.zhongfanghong.com/,1
1,1,1,0,0,1,0,0,0,0,0,2,3,0,0,6,0,0,3,0,3,14,0,0,0,505,2,15,3,82,0,0,1,0,1,1,7,1,0,0,0,18,0,https://cnuionone.vercel.app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.naaer.cn/?convert=7CAqzdIW7JaY2CCa052sM7M7,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,29,0,0,1,29,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,https://domain-united-de.blogspot.mx/,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19775,1,357,147,453,0,1,0,0,1,0,63,1,0,1,5,194,0,https://peage-fr-vinci.com/,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19775,1,357,147,453,0,1,0,0,1,0,63,1,0,1,5,194,0,https://peage-fr-vinci.com/as.php,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19775,1,357,147,453,0,1,0,0,1,0,63,1,0,1,5,194,0,https://peage-fr-reglement.com/,1
1,1,1,0,0,1,0,0,0,0,0,1,29,0,0,195,0,0,26,214,25,60,1,0,1,19775,1,357,147,453,0,1,0,0,1,0,63,1,0,1,5,194,0,https://peage-fr-reglement.com/as.php,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,22,0,0,0,22,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,https://badge-peage-fr.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://eradys.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://www.eradys.com/,1
1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,13,1,1,0,376,1,6,1,23,0,0,1,0,0,0,2,0,0,0,0,0,0,https://ulysconnecte.com/,1
1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,13,1,1,0,376,1,6,1,23,0,0,1,0,0,0,2,0,0,0,0,0,0,https://www.ulysconnecte.com/,1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,41,0,1,0,125,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,https://solde-bouygues.com/,1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,41,0,1,0,125,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,https://www.solde-bouygues.com/,1
1,1,1,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,1,4,0,0,0,23,0,0,1,5,0,0,1,0,0,1,1,0,0,0,0,0,0,https://kjhvbnk.s3.us-east-2.amazonaws.com/PVlhTUjFaWA.html#redacted@abuse.ionos.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,37,0,0,0,127,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQxIvB3lUytkP9pJKRnHpYy_45abM4jQ3HT3Ghsuu2scQPvG-bYqFKMssi7qA1m0v9dFh5E6c6DY0za/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,37,0,0,0,127,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQxIvB3lUytkP9pJKRnHpYy_45abM4jQ3HT3Ghsuu2scQPvG-bYqFKMssi7qA1m0v9dFh5E6c6DY0za/pub,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,29,1,0,0,274,0,2,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,https://vpass-jp.frnig.cn/?session=onOdAc6AMwFqNsrGKdIWeqYz,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,https://sqaizk.iczvuxxsgpa.top/qaetdel,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,50,1,1,0,2019,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,http://name-trezor-help-dvoy.vercel.app/,1
